DZ2011,IZ2011,CA2011,CA2011QF,HSCP2016,HSCP2016QF,HB2014,HB2014QF,SIMD2016Rank,SIMD2016CountryDecile,SIMD2016CountryQuintile,SIMD2016HB2014Decile,SIMD2016HB2014Quintile,SIMD2016HSCP2016Decile,SIMD2016HSCP2016Quintile,SIMD2016CA2011Decile,SIMD2016CA2011Quintile,SIMD2016Most15pc,SIMD2016Least15pc
S01006506,S02001236,S12000033, ,S37000001, ,S08000020, ,5272,8,4,6,3,6,3,6,3,0,0
S01006507,S02001236,S12000033, ,S37000001, ,S08000020, ,4838,7,4,5,3,6,3,6,3,0,0
S01006508,S02001236,S12000033, ,S37000001, ,S08000020, ,6321,10,5,9,5,8,4,8,4,0,1
S01006509,S02001236,S12000033, ,S37000001, ,S08000020, ,5363,8,4,7,4,6,3,6,3,0,0
S01006510,S02001236,S12000033, ,S37000001, ,S08000020, ,4049,6,3,4,2,5,3,5,3,0,0
S01006511,S02001236,S12000033, ,S37000001, ,S08000020, ,6668,10,5,10,5,9,5,9,5,0,1
S01006512,S02001236,S12000033, ,S37000001, ,S08000020, ,5865,9,5,8,4,7,4,7,4,0,0
S01006513,S02001237,S12000033, ,S37000001, ,S08000020, ,5845,9,5,8,4,7,4,7,4,0,0
S01006514,S02001237,S12000033, ,S37000001, ,S08000020, ,6808,10,5,10,5,9,5,9,5,0,1
S01006515,S02001237,S12000033, ,S37000001, ,S08000020, ,6322,10,5,9,5,8,4,8,4,0,1
S01006516,S02001237,S12000033, ,S37000001, ,S08000020, ,6259,9,5,9,5,8,4,8,4,0,1
S01006517,S02001237,S12000033, ,S37000001, ,S08000020, ,5843,9,5,8,4,7,4,7,4,0,0
S01006518,S02001238,S12000033, ,S37000001, ,S08000020, ,6607,10,5,9,5,9,5,9,5,0,1
S01006519,S02001238,S12000033, ,S37000001, ,S08000020, ,6404,10,5,9,5,8,4,8,4,0,1
S01006520,S02001238,S12000033, ,S37000001, ,S08000020, ,6456,10,5,9,5,8,4,8,4,0,1
S01006521,S02001238,S12000033, ,S37000001, ,S08000020, ,6517,10,5,9,5,8,4,8,4,0,1
S01006522,S02001238,S12000033, ,S37000001, ,S08000020, ,6785,10,5,10,5,9,5,9,5,0,1
S01006523,S02001238,S12000033, ,S37000001, ,S08000020, ,6496,10,5,9,5,8,4,8,4,0,1
S01006524,S02001238,S12000033, ,S37000001, ,S08000020, ,3982,6,3,4,2,5,3,5,3,0,0
S01006525,S02001238,S12000033, ,S37000001, ,S08000020, ,6333,10,5,9,5,8,4,8,4,0,1
S01006526,S02001239,S12000033, ,S37000001, ,S08000020, ,2599,4,2,2,1,3,2,3,2,0,0
S01006527,S02001239,S12000033, ,S37000001, ,S08000020, ,1957,3,2,1,1,2,1,2,1,0,0
S01006528,S02001239,S12000033, ,S37000001, ,S08000020, ,3912,6,3,4,2,5,3,5,3,0,0
S01006529,S02001239,S12000033, ,S37000001, ,S08000020, ,4128,6,3,4,2,5,3,5,3,0,0
S01006530,S02001239,S12000033, ,S37000001, ,S08000020, ,2531,4,2,2,1,3,2,3,2,0,0
S01006531,S02001239,S12000033, ,S37000001, ,S08000020, ,2240,4,2,2,1,2,1,2,1,0,0
S01006532,S02001240,S12000033, ,S37000001, ,S08000020, ,6177,9,5,8,4,7,4,7,4,0,1
S01006533,S02001240,S12000033, ,S37000001, ,S08000020, ,6930,10,5,10,5,10,5,10,5,0,1
S01006534,S02001240,S12000033, ,S37000001, ,S08000020, ,6908,10,5,10,5,10,5,10,5,0,1
S01006535,S02001240,S12000033, ,S37000001, ,S08000020, ,6796,10,5,10,5,9,5,9,5,0,1
S01006536,S02001240,S12000033, ,S37000001, ,S08000020, ,6693,10,5,10,5,9,5,9,5,0,1
S01006537,S02001241,S12000033, ,S37000001, ,S08000020, ,6538,10,5,9,5,9,5,9,5,0,1
S01006538,S02001241,S12000033, ,S37000001, ,S08000020, ,6529,10,5,9,5,9,5,9,5,0,1
S01006539,S02001241,S12000033, ,S37000001, ,S08000020, ,6823,10,5,10,5,10,5,10,5,0,1
S01006540,S02001241,S12000033, ,S37000001, ,S08000020, ,6427,10,5,9,5,8,4,8,4,0,1
S01006541,S02001241,S12000033, ,S37000001, ,S08000020, ,6824,10,5,10,5,10,5,10,5,0,1
S01006542,S02001242,S12000033, ,S37000001, ,S08000020, ,6891,10,5,10,5,10,5,10,5,0,1
S01006543,S02001242,S12000033, ,S37000001, ,S08000020, ,6419,10,5,9,5,8,4,8,4,0,1
S01006544,S02001242,S12000033, ,S37000001, ,S08000020, ,6804,10,5,10,5,9,5,9,5,0,1
S01006545,S02001242,S12000033, ,S37000001, ,S08000020, ,6486,10,5,9,5,8,4,8,4,0,1
S01006546,S02001242,S12000033, ,S37000001, ,S08000020, ,6884,10,5,10,5,10,5,10,5,0,1
S01006547,S02001243,S12000033, ,S37000001, ,S08000020, ,3598,6,3,3,2,4,2,4,2,0,0
S01006548,S02001243,S12000033, ,S37000001, ,S08000020, ,6570,10,5,9,5,9,5,9,5,0,1
S01006549,S02001243,S12000033, ,S37000001, ,S08000020, ,6766,10,5,10,5,9,5,9,5,0,1
S01006550,S02001243,S12000033, ,S37000001, ,S08000020, ,6892,10,5,10,5,10,5,10,5,0,1
S01006551,S02001243,S12000033, ,S37000001, ,S08000020, ,1901,3,2,1,1,2,1,2,1,0,0
S01006552,S02001243,S12000033, ,S37000001, ,S08000020, ,6047,9,5,8,4,7,4,7,4,0,1
S01006553,S02001244,S12000033, ,S37000001, ,S08000020, ,4820,7,4,5,3,6,3,6,3,0,0
S01006554,S02001244,S12000033, ,S37000001, ,S08000020, ,4290,7,4,4,2,5,3,5,3,0,0
S01006555,S02001244,S12000033, ,S37000001, ,S08000020, ,1605,3,2,1,1,2,1,2,1,0,0
S01006556,S02001244,S12000033, ,S37000001, ,S08000020, ,2592,4,2,2,1,3,2,3,2,0,0
S01006557,S02001244,S12000033, ,S37000001, ,S08000020, ,1757,3,2,1,1,2,1,2,1,0,0
S01006558,S02001245,S12000033, ,S37000001, ,S08000020, ,6587,10,5,9,5,9,5,9,5,0,1
S01006559,S02001245,S12000033, ,S37000001, ,S08000020, ,6958,10,5,10,5,10,5,10,5,0,1
S01006560,S02001245,S12000033, ,S37000001, ,S08000020, ,6817,10,5,10,5,10,5,10,5,0,1
S01006561,S02001245,S12000033, ,S37000001, ,S08000020, ,6975,10,5,10,5,10,5,10,5,0,1
S01006562,S02001245,S12000033, ,S37000001, ,S08000020, ,5133,8,4,6,3,6,3,6,3,0,0
S01006563,S02001245,S12000033, ,S37000001, ,S08000020, ,5484,8,4,7,4,6,3,6,3,0,0
S01006564,S02001246,S12000033, ,S37000001, ,S08000020, ,2834,4,2,2,1,3,2,3,2,0,0
S01006565,S02001246,S12000033, ,S37000001, ,S08000020, ,3870,6,3,4,2,5,3,5,3,0,0
S01006566,S02001246,S12000033, ,S37000001, ,S08000020, ,6265,9,5,9,5,8,4,8,4,0,1
S01006567,S02001246,S12000033, ,S37000001, ,S08000020, ,2616,4,2,2,1,3,2,3,2,0,0
S01006568,S02001246,S12000033, ,S37000001, ,S08000020, ,6507,10,5,9,5,8,4,8,4,0,1
S01006569,S02001246,S12000033, ,S37000001, ,S08000020, ,6303,9,5,9,5,8,4,8,4,0,1
S01006570,S02001246,S12000033, ,S37000001, ,S08000020, ,6946,10,5,10,5,10,5,10,5,0,1
S01006571,S02001247,S12000033, ,S37000001, ,S08000020, ,6244,9,5,9,5,8,4,8,4,0,1
S01006572,S02001247,S12000033, ,S37000001, ,S08000020, ,6889,10,5,10,5,10,5,10,5,0,1
S01006573,S02001247,S12000033, ,S37000001, ,S08000020, ,6949,10,5,10,5,10,5,10,5,0,1
S01006574,S02001247,S12000033, ,S37000001, ,S08000020, ,6913,10,5,10,5,10,5,10,5,0,1
S01006575,S02001248,S12000033, ,S37000001, ,S08000020, ,6956,10,5,10,5,10,5,10,5,0,1
S01006576,S02001248,S12000033, ,S37000001, ,S08000020, ,6897,10,5,10,5,10,5,10,5,0,1
S01006577,S02001248,S12000033, ,S37000001, ,S08000020, ,6850,10,5,10,5,10,5,10,5,0,1
S01006578,S02001248,S12000033, ,S37000001, ,S08000020, ,5441,8,4,7,4,6,3,6,3,0,0
S01006579,S02001248,S12000033, ,S37000001, ,S08000020, ,6328,10,5,9,5,8,4,8,4,0,1
S01006580,S02001248,S12000033, ,S37000001, ,S08000020, ,6522,10,5,9,5,8,4,8,4,0,1
S01006581,S02001248,S12000033, ,S37000001, ,S08000020, ,6955,10,5,10,5,10,5,10,5,0,1
S01006582,S02001249,S12000033, ,S37000001, ,S08000020, ,3356,5,3,3,2,4,2,4,2,0,0
S01006583,S02001249,S12000033, ,S37000001, ,S08000020, ,6168,9,5,8,4,7,4,7,4,0,1
S01006584,S02001249,S12000033, ,S37000001, ,S08000020, ,6802,10,5,10,5,9,5,9,5,0,1
S01006585,S02001249,S12000033, ,S37000001, ,S08000020, ,1842,3,2,1,1,2,1,2,1,0,0
S01006586,S02001249,S12000033, ,S37000001, ,S08000020, ,3290,5,3,3,2,4,2,4,2,0,0
S01006587,S02001250,S12000033, ,S37000001, ,S08000020, ,1506,3,2,1,1,1,1,1,1,0,0
S01006588,S02001250,S12000033, ,S37000001, ,S08000020, ,4362,7,4,5,3,5,3,5,3,0,0
S01006589,S02001250,S12000033, ,S37000001, ,S08000020, ,3514,5,3,3,2,4,2,4,2,0,0
S01006590,S02001250,S12000033, ,S37000001, ,S08000020, ,3220,5,3,3,2,4,2,4,2,0,0
S01006591,S02001251,S12000033, ,S37000001, ,S08000020, ,4041,6,3,4,2,5,3,5,3,0,0
S01006592,S02001251,S12000033, ,S37000001, ,S08000020, ,6803,10,5,10,5,9,5,9,5,0,1
S01006593,S02001251,S12000033, ,S37000001, ,S08000020, ,6795,10,5,10,5,9,5,9,5,0,1
S01006594,S02001251,S12000033, ,S37000001, ,S08000020, ,6487,10,5,9,5,8,4,8,4,0,1
S01006595,S02001251,S12000033, ,S37000001, ,S08000020, ,6095,9,5,8,4,7,4,7,4,0,1
S01006596,S02001251,S12000033, ,S37000001, ,S08000020, ,6482,10,5,9,5,8,4,8,4,0,1
S01006597,S02001251,S12000033, ,S37000001, ,S08000020, ,3956,6,3,4,2,5,3,5,3,0,0
S01006598,S02001252,S12000033, ,S37000001, ,S08000020, ,6772,10,5,10,5,9,5,9,5,0,1
S01006599,S02001252,S12000033, ,S37000001, ,S08000020, ,4577,7,4,5,3,5,3,5,3,0,0
S01006600,S02001252,S12000033, ,S37000001, ,S08000020, ,6291,9,5,9,5,8,4,8,4,0,1
S01006601,S02001252,S12000033, ,S37000001, ,S08000020, ,5426,8,4,7,4,6,3,6,3,0,0
S01006602,S02001252,S12000033, ,S37000001, ,S08000020, ,6923,10,5,10,5,10,5,10,5,0,1
S01006603,S02001253,S12000033, ,S37000001, ,S08000020, ,1908,3,2,1,1,2,1,2,1,0,0
S01006604,S02001253,S12000033, ,S37000001, ,S08000020, ,3246,5,3,3,2,4,2,4,2,0,0
S01006605,S02001253,S12000033, ,S37000001, ,S08000020, ,1920,3,2,1,1,2,1,2,1,0,0
S01006606,S02001253,S12000033, ,S37000001, ,S08000020, ,4734,7,4,5,3,5,3,5,3,0,0
S01006607,S02001253,S12000033, ,S37000001, ,S08000020, ,3677,6,3,3,2,4,2,4,2,0,0
S01006608,S02001254,S12000033, ,S37000001, ,S08000020, ,5354,8,4,6,3,6,3,6,3,0,0
S01006609,S02001254,S12000033, ,S37000001, ,S08000020, ,3473,5,3,3,2,4,2,4,2,0,0
S01006610,S02001254,S12000033, ,S37000001, ,S08000020, ,2518,4,2,2,1,3,2,3,2,0,0
S01006611,S02001254,S12000033, ,S37000001, ,S08000020, ,2730,4,2,2,1,3,2,3,2,0,0
S01006612,S02001254,S12000033, ,S37000001, ,S08000020, ,4796,7,4,5,3,6,3,6,3,0,0
S01006613,S02001255,S12000033, ,S37000001, ,S08000020, ,6415,10,5,9,5,8,4,8,4,0,1
S01006614,S02001255,S12000033, ,S37000001, ,S08000020, ,6585,10,5,9,5,9,5,9,5,0,1
S01006615,S02001255,S12000033, ,S37000001, ,S08000020, ,6525,10,5,9,5,9,5,9,5,0,1
S01006616,S02001255,S12000033, ,S37000001, ,S08000020, ,6277,9,5,9,5,8,4,8,4,0,1
S01006617,S02001255,S12000033, ,S37000001, ,S08000020, ,5404,8,4,7,4,6,3,6,3,0,0
S01006618,S02001255,S12000033, ,S37000001, ,S08000020, ,6232,9,5,8,4,7,4,7,4,0,1
S01006619,S02001256,S12000033, ,S37000001, ,S08000020, ,5456,8,4,7,4,6,3,6,3,0,0
S01006620,S02001256,S12000033, ,S37000001, ,S08000020, ,5304,8,4,6,3,6,3,6,3,0,0
S01006621,S02001256,S12000033, ,S37000001, ,S08000020, ,5027,8,4,6,3,6,3,6,3,0,0
S01006622,S02001256,S12000033, ,S37000001, ,S08000020, ,6014,9,5,8,4,7,4,7,4,0,1
S01006623,S02001256,S12000033, ,S37000001, ,S08000020, ,3012,5,3,3,2,4,2,4,2,0,0
S01006624,S02001257,S12000033, ,S37000001, ,S08000020, ,2963,5,3,2,1,4,2,4,2,0,0
S01006625,S02001257,S12000033, ,S37000001, ,S08000020, ,3606,6,3,3,2,4,2,4,2,0,0
S01006626,S02001257,S12000033, ,S37000001, ,S08000020, ,1814,3,2,1,1,2,1,2,1,0,0
S01006627,S02001257,S12000033, ,S37000001, ,S08000020, ,1343,2,1,1,1,1,1,1,1,0,0
S01006628,S02001257,S12000033, ,S37000001, ,S08000020, ,2932,5,3,2,1,4,2,4,2,0,0
S01006629,S02001257,S12000033, ,S37000001, ,S08000020, ,1283,2,1,1,1,1,1,1,1,0,0
S01006630,S02001257,S12000033, ,S37000001, ,S08000020, ,1599,3,2,1,1,2,1,2,1,0,0
S01006631,S02001258,S12000033, ,S37000001, ,S08000020, ,1497,3,2,1,1,1,1,1,1,0,0
S01006632,S02001258,S12000033, ,S37000001, ,S08000020, ,1317,2,1,1,1,1,1,1,1,0,0
S01006633,S02001258,S12000033, ,S37000001, ,S08000020, ,1122,2,1,1,1,1,1,1,1,0,0
S01006634,S02001258,S12000033, ,S37000001, ,S08000020, ,500,1,1,1,1,1,1,1,1,1,0
S01006635,S02001258,S12000033, ,S37000001, ,S08000020, ,2055,3,2,2,1,2,1,2,1,0,0
S01006636,S02001258,S12000033, ,S37000001, ,S08000020, ,675,1,1,1,1,1,1,1,1,1,0
S01006637,S02001259,S12000033, ,S37000001, ,S08000020, ,3440,5,3,3,2,4,2,4,2,0,0
S01006638,S02001259,S12000033, ,S37000001, ,S08000020, ,2766,4,2,2,1,3,2,3,2,0,0
S01006639,S02001259,S12000033, ,S37000001, ,S08000020, ,1835,3,2,1,1,2,1,2,1,0,0
S01006640,S02001259,S12000033, ,S37000001, ,S08000020, ,6488,10,5,9,5,8,4,8,4,0,1
S01006641,S02001260,S12000033, ,S37000001, ,S08000020, ,3641,6,3,3,2,4,2,4,2,0,0
S01006642,S02001260,S12000033, ,S37000001, ,S08000020, ,4957,8,4,6,3,6,3,6,3,0,0
S01006643,S02001260,S12000033, ,S37000001, ,S08000020, ,5566,8,4,7,4,7,4,7,4,0,0
S01006644,S02001260,S12000033, ,S37000001, ,S08000020, ,4291,7,4,4,2,5,3,5,3,0,0
S01006645,S02001261,S12000033, ,S37000001, ,S08000020, ,1260,2,1,1,1,1,1,1,1,0,0
S01006646,S02001261,S12000033, ,S37000001, ,S08000020, ,4907,7,4,6,3,6,3,6,3,0,0
S01006647,S02001261,S12000033, ,S37000001, ,S08000020, ,2606,4,2,2,1,3,2,3,2,0,0
S01006648,S02001261,S12000033, ,S37000001, ,S08000020, ,4379,7,4,5,3,5,3,5,3,0,0
S01006649,S02001261,S12000033, ,S37000001, ,S08000020, ,3043,5,3,3,2,4,2,4,2,0,0
S01006650,S02001261,S12000033, ,S37000001, ,S08000020, ,3767,6,3,4,2,5,3,5,3,0,0
S01006651,S02001261,S12000033, ,S37000001, ,S08000020, ,3147,5,3,3,2,4,2,4,2,0,0
S01006652,S02001261,S12000033, ,S37000001, ,S08000020, ,4826,7,4,5,3,6,3,6,3,0,0
S01006653,S02001262,S12000033, ,S37000001, ,S08000020, ,6069,9,5,8,4,7,4,7,4,0,1
S01006654,S02001262,S12000033, ,S37000001, ,S08000020, ,1782,3,2,1,1,2,1,2,1,0,0
S01006655,S02001262,S12000033, ,S37000001, ,S08000020, ,3023,5,3,3,2,4,2,4,2,0,0
S01006656,S02001262,S12000033, ,S37000001, ,S08000020, ,4580,7,4,5,3,5,3,5,3,0,0
S01006657,S02001262,S12000033, ,S37000001, ,S08000020, ,2574,4,2,2,1,3,2,3,2,0,0
S01006658,S02001263,S12000033, ,S37000001, ,S08000020, ,2307,4,2,2,1,3,2,3,2,0,0
S01006659,S02001263,S12000033, ,S37000001, ,S08000020, ,6368,10,5,9,5,8,4,8,4,0,1
S01006660,S02001263,S12000033, ,S37000001, ,S08000020, ,3344,5,3,3,2,4,2,4,2,0,0
S01006661,S02001263,S12000033, ,S37000001, ,S08000020, ,5552,8,4,7,4,7,4,7,4,0,0
S01006662,S02001263,S12000033, ,S37000001, ,S08000020, ,2796,4,2,2,1,3,2,3,2,0,0
S01006663,S02001263,S12000033, ,S37000001, ,S08000020, ,6664,10,5,10,5,9,5,9,5,0,1
S01006664,S02001263,S12000033, ,S37000001, ,S08000020, ,4987,8,4,6,3,6,3,6,3,0,0
S01006665,S02001263,S12000033, ,S37000001, ,S08000020, ,6302,9,5,9,5,8,4,8,4,0,1
S01006666,S02001264,S12000033, ,S37000001, ,S08000020, ,948,2,1,1,1,1,1,1,1,1,0
S01006667,S02001264,S12000033, ,S37000001, ,S08000020, ,725,2,1,1,1,1,1,1,1,1,0
S01006668,S02001264,S12000033, ,S37000001, ,S08000020, ,5595,8,4,7,4,7,4,7,4,0,0
S01006669,S02001264,S12000033, ,S37000001, ,S08000020, ,3732,6,3,3,2,4,2,4,2,0,0
S01006670,S02001264,S12000033, ,S37000001, ,S08000020, ,4194,6,3,4,2,5,3,5,3,0,0
S01006671,S02001265,S12000033, ,S37000001, ,S08000020, ,6142,9,5,8,4,7,4,7,4,0,1
S01006672,S02001265,S12000033, ,S37000001, ,S08000020, ,2072,3,2,2,1,2,1,2,1,0,0
S01006673,S02001265,S12000033, ,S37000001, ,S08000020, ,2562,4,2,2,1,3,2,3,2,0,0
S01006674,S02001265,S12000033, ,S37000001, ,S08000020, ,1299,2,1,1,1,1,1,1,1,0,0
S01006675,S02001266,S12000033, ,S37000001, ,S08000020, ,1234,2,1,1,1,1,1,1,1,0,0
S01006676,S02001266,S12000033, ,S37000001, ,S08000020, ,1065,2,1,1,1,1,1,1,1,1,0
S01006677,S02001266,S12000033, ,S37000001, ,S08000020, ,998,2,1,1,1,1,1,1,1,1,0
S01006678,S02001266,S12000033, ,S37000001, ,S08000020, ,1962,3,2,1,1,2,1,2,1,0,0
S01006679,S02001266,S12000033, ,S37000001, ,S08000020, ,5617,8,4,7,4,7,4,7,4,0,0
S01006680,S02001266,S12000033, ,S37000001, ,S08000020, ,1399,2,1,1,1,1,1,1,1,0,0
S01006681,S02001267,S12000033, ,S37000001, ,S08000020, ,1753,3,2,1,1,2,1,2,1,0,0
S01006682,S02001267,S12000033, ,S37000001, ,S08000020, ,1535,3,2,1,1,1,1,1,1,0,0
S01006683,S02001267,S12000033, ,S37000001, ,S08000020, ,1806,3,2,1,1,2,1,2,1,0,0
S01006684,S02001267,S12000033, ,S37000001, ,S08000020, ,545,1,1,1,1,1,1,1,1,1,0
S01006685,S02001267,S12000033, ,S37000001, ,S08000020, ,1352,2,1,1,1,1,1,1,1,0,0
S01006686,S02001268,S12000033, ,S37000001, ,S08000020, ,2845,5,3,2,1,3,2,3,2,0,0
S01006687,S02001268,S12000033, ,S37000001, ,S08000020, ,2794,4,2,2,1,3,2,3,2,0,0
S01006688,S02001268,S12000033, ,S37000001, ,S08000020, ,4712,7,4,5,3,5,3,5,3,0,0
S01006689,S02001268,S12000033, ,S37000001, ,S08000020, ,6969,10,5,10,5,10,5,10,5,0,1
S01006690,S02001268,S12000033, ,S37000001, ,S08000020, ,4338,7,4,4,2,5,3,5,3,0,0
S01006691,S02001268,S12000033, ,S37000001, ,S08000020, ,6208,9,5,8,4,7,4,7,4,0,1
S01006692,S02001268,S12000033, ,S37000001, ,S08000020, ,5644,9,5,7,4,7,4,7,4,0,0
S01006693,S02001268,S12000033, ,S37000001, ,S08000020, ,4548,7,4,5,3,5,3,5,3,0,0
S01006694,S02001269,S12000033, ,S37000001, ,S08000020, ,1614,3,2,1,1,2,1,2,1,0,0
S01006695,S02001269,S12000033, ,S37000001, ,S08000020, ,3139,5,3,3,2,4,2,4,2,0,0
S01006696,S02001269,S12000033, ,S37000001, ,S08000020, ,2467,4,2,2,1,3,2,3,2,0,0
S01006697,S02001269,S12000033, ,S37000001, ,S08000020, ,2375,4,2,2,1,3,2,3,2,0,0
S01006698,S02001269,S12000033, ,S37000001, ,S08000020, ,1422,2,1,1,1,1,1,1,1,0,0
S01006699,S02001269,S12000033, ,S37000001, ,S08000020, ,5105,8,4,6,3,6,3,6,3,0,0
S01006700,S02001269,S12000033, ,S37000001, ,S08000020, ,2784,4,2,2,1,3,2,3,2,0,0
S01006701,S02001270,S12000033, ,S37000001, ,S08000020, ,1633,3,2,1,1,2,1,2,1,0,0
S01006702,S02001270,S12000033, ,S37000001, ,S08000020, ,4307,7,4,4,2,5,3,5,3,0,0
S01006703,S02001270,S12000033, ,S37000001, ,S08000020, ,2025,3,2,1,1,2,1,2,1,0,0
S01006704,S02001270,S12000033, ,S37000001, ,S08000020, ,1148,2,1,1,1,1,1,1,1,0,0
S01006705,S02001270,S12000033, ,S37000001, ,S08000020, ,2128,3,2,2,1,2,1,2,1,0,0
S01006706,S02001270,S12000033, ,S37000001, ,S08000020, ,2674,4,2,2,1,3,2,3,2,0,0
S01006707,S02001270,S12000033, ,S37000001, ,S08000020, ,1051,2,1,1,1,1,1,1,1,1,0
S01006708,S02001271,S12000033, ,S37000001, ,S08000020, ,3080,5,3,3,2,4,2,4,2,0,0
S01006709,S02001271,S12000033, ,S37000001, ,S08000020, ,2641,4,2,2,1,3,2,3,2,0,0
S01006710,S02001271,S12000033, ,S37000001, ,S08000020, ,3077,5,3,3,2,4,2,4,2,0,0
S01006711,S02001271,S12000033, ,S37000001, ,S08000020, ,1147,2,1,1,1,1,1,1,1,0,0
S01006712,S02001271,S12000033, ,S37000001, ,S08000020, ,3462,5,3,3,2,4,2,4,2,0,0
S01006713,S02001271,S12000033, ,S37000001, ,S08000020, ,2426,4,2,2,1,3,2,3,2,0,0
S01006714,S02001272,S12000033, ,S37000001, ,S08000020, ,2819,4,2,2,1,3,2,3,2,0,0
S01006715,S02001272,S12000033, ,S37000001, ,S08000020, ,1499,3,2,1,1,1,1,1,1,0,0
S01006716,S02001272,S12000033, ,S37000001, ,S08000020, ,1682,3,2,1,1,2,1,2,1,0,0
S01006717,S02001272,S12000033, ,S37000001, ,S08000020, ,2218,4,2,2,1,2,1,2,1,0,0
S01006718,S02001272,S12000033, ,S37000001, ,S08000020, ,2263,4,2,2,1,3,2,3,2,0,0
S01006719,S02001273,S12000033, ,S37000001, ,S08000020, ,2023,3,2,1,1,2,1,2,1,0,0
S01006720,S02001273,S12000033, ,S37000001, ,S08000020, ,1657,3,2,1,1,2,1,2,1,0,0
S01006721,S02001273,S12000033, ,S37000001, ,S08000020, ,1950,3,2,1,1,2,1,2,1,0,0
S01006722,S02001273,S12000033, ,S37000001, ,S08000020, ,2419,4,2,2,1,3,2,3,2,0,0
S01006723,S02001273,S12000033, ,S37000001, ,S08000020, ,2362,4,2,2,1,3,2,3,2,0,0
S01006724,S02001273,S12000033, ,S37000001, ,S08000020, ,785,2,1,1,1,1,1,1,1,1,0
S01006725,S02001273,S12000033, ,S37000001, ,S08000020, ,1713,3,2,1,1,2,1,2,1,0,0
S01006726,S02001274,S12000033, ,S37000001, ,S08000020, ,1071,2,1,1,1,1,1,1,1,0,0
S01006727,S02001274,S12000033, ,S37000001, ,S08000020, ,893,2,1,1,1,1,1,1,1,1,0
S01006728,S02001274,S12000033, ,S37000001, ,S08000020, ,2461,4,2,2,1,3,2,3,2,0,0
S01006729,S02001274,S12000033, ,S37000001, ,S08000020, ,878,2,1,1,1,1,1,1,1,1,0
S01006730,S02001274,S12000033, ,S37000001, ,S08000020, ,2758,4,2,2,1,3,2,3,2,0,0
S01006731,S02001274,S12000033, ,S37000001, ,S08000020, ,1616,3,2,1,1,2,1,2,1,0,0
S01006732,S02001275,S12000033, ,S37000001, ,S08000020, ,5050,8,4,6,3,6,3,6,3,0,0
S01006733,S02001275,S12000033, ,S37000001, ,S08000020, ,6896,10,5,10,5,10,5,10,5,0,1
S01006734,S02001275,S12000033, ,S37000001, ,S08000020, ,6826,10,5,10,5,10,5,10,5,0,1
S01006735,S02001275,S12000033, ,S37000001, ,S08000020, ,6813,10,5,10,5,10,5,10,5,0,1
S01006736,S02001275,S12000033, ,S37000001, ,S08000020, ,6241,9,5,8,4,8,4,8,4,0,1
S01006737,S02001275,S12000033, ,S37000001, ,S08000020, ,6071,9,5,8,4,7,4,7,4,0,1
S01006738,S02001276,S12000033, ,S37000001, ,S08000020, ,4852,7,4,5,3,6,3,6,3,0,0
S01006739,S02001276,S12000033, ,S37000001, ,S08000020, ,5019,8,4,6,3,6,3,6,3,0,0
S01006740,S02001276,S12000033, ,S37000001, ,S08000020, ,3278,5,3,3,2,4,2,4,2,0,0
S01006741,S02001276,S12000033, ,S37000001, ,S08000020, ,3072,5,3,3,2,4,2,4,2,0,0
S01006742,S02001276,S12000033, ,S37000001, ,S08000020, ,3845,6,3,4,2,5,3,5,3,0,0
S01006743,S02001277,S12000033, ,S37000001, ,S08000020, ,5059,8,4,6,3,6,3,6,3,0,0
S01006744,S02001277,S12000033, ,S37000001, ,S08000020, ,4542,7,4,5,3,5,3,5,3,0,0
S01006745,S02001277,S12000033, ,S37000001, ,S08000020, ,2815,4,2,2,1,3,2,3,2,0,0
S01006746,S02001277,S12000033, ,S37000001, ,S08000020, ,3518,5,3,3,2,4,2,4,2,0,0
S01006747,S02001277,S12000033, ,S37000001, ,S08000020, ,6073,9,5,8,4,7,4,7,4,0,1
S01006748,S02001277,S12000033, ,S37000001, ,S08000020, ,6018,9,5,8,4,7,4,7,4,0,1
S01006749,S02001278,S12000033, ,S37000001, ,S08000020, ,4308,7,4,4,2,5,3,5,3,0,0
S01006750,S02001278,S12000033, ,S37000001, ,S08000020, ,3423,5,3,3,2,4,2,4,2,0,0
S01006751,S02001278,S12000033, ,S37000001, ,S08000020, ,3814,6,3,4,2,5,3,5,3,0,0
S01006752,S02001278,S12000033, ,S37000001, ,S08000020, ,3669,6,3,3,2,4,2,4,2,0,0
S01006753,S02001278,S12000033, ,S37000001, ,S08000020, ,6224,9,5,8,4,7,4,7,4,0,1
S01006754,S02001278,S12000033, ,S37000001, ,S08000020, ,6515,10,5,9,5,8,4,8,4,0,1
S01006755,S02001278,S12000033, ,S37000001, ,S08000020, ,4982,8,4,6,3,6,3,6,3,0,0
S01006756,S02001279,S12000033, ,S37000001, ,S08000020, ,5830,9,5,8,4,7,4,7,4,0,0
S01006757,S02001279,S12000033, ,S37000001, ,S08000020, ,6738,10,5,10,5,9,5,9,5,0,1
S01006758,S02001279,S12000033, ,S37000001, ,S08000020, ,6858,10,5,10,5,10,5,10,5,0,1
S01006759,S02001279,S12000033, ,S37000001, ,S08000020, ,6743,10,5,10,5,9,5,9,5,0,1
S01006760,S02001279,S12000033, ,S37000001, ,S08000020, ,6919,10,5,10,5,10,5,10,5,0,1
